distance version eps NumClusters numNoise Silhouette
euclidean 0 0.7 1 13 0.5691491125013034
euclidean 0 0.8 1 3 0.6413583942375066
euclidean 1 0.23 220 0 0.060701115119748704
euclidean 1 0.25 25 155 0.20692144854549613
euclidean 1 0.28 9 140 0.24988455902265427
euclidean 1 0.3 5 149 0.2510828109574747
euclidean 1 0.32 4 147 0.25283402278170886
euclidean 1 0.35 1 111 0.46186523388130185
euclidean 1 0.38 1 98 0.4734512701836876
euclidean 1 0.42 1 71 0.49417040794637546
euclidean 1 0.46 1 55 0.5112783912790102
euclidean 1 0.5 1 45 0.5249711628573812
euclidean 1 0.55 1 31 0.5460257769837343
euclidean 1 0.7 1 2 0.6655129425117555
euclidean 1 0.8 1 1 0.7366137555614336
euclidean 2 0.23 4 0 0.671988941208323
euclidean 2 0.25 5 8 0.5068847635892778
euclidean 2 0.28 5 5 0.506820118110111
euclidean 2 0.3 4 12 0.5065537510427148
euclidean 2 0.32 4 13 0.5052580673290505
euclidean 2 0.35 1 34 0.769167417041254
euclidean 2 0.38 1 34 0.769167417041254
euclidean 2 0.42 1 33 0.7700931945665898
euclidean 2 0.46 1 33 0.7700931945665898
euclidean 2 0.5 1 37 0.7660699023384804
euclidean 2 0.55 1 37 0.7660699023384804
euclidean 2 0.7 1 30 0.7737263755482853
euclidean 2 0.8 1 29 0.7744482407502954
euclidean 3 0.23 170 0 0.21560529437906223
euclidean 3 0.25 16 159 0.2652043772242912
euclidean 3 0.28 6 138 0.3358233591655999
euclidean 3 0.3 4 147 0.3375605555046514
euclidean 3 0.32 4 149 0.33809396614009224
euclidean 3 0.35 1 154 0.6211420281674203
euclidean 3 0.38 1 146 0.6351456541968541
euclidean 3 0.42 1 130 0.6573480637257398
euclidean 3 0.46 1 126 0.6713152101315406
euclidean 3 0.5 1 131 0.6788682330463057
euclidean 3 0.55 1 128 0.6871732946623391
euclidean 3 0.7 1 78 0.7063127595356421
euclidean 3 0.8 1 41 0.7221140481439284
euclidean 4 0.23 40 0 0.4394111843780061
euclidean 4 0.25 9 44 0.3121647540302792
euclidean 4 0.28 5 44 0.3544093541752164
euclidean 4 0.3 4 45 0.3577210353907281
euclidean 4 0.32 4 45 0.3547802382936244
euclidean 4 0.35 1 61 0.6821265745645364
euclidean 4 0.38 1 64 0.6922307917265332
euclidean 4 0.42 1 68 0.7021348236535897
euclidean 4 0.46 1 74 0.7091967623960951
euclidean 4 0.5 1 86 0.7092474931274727
euclidean 4 0.55 1 93 0.7087942995823154
euclidean 4 0.7 1 66 0.7186912642893444
euclidean 4 0.8 1 34 0.7325742839408583
